id,simple_prompt,complex_prompt
1,Add a rusted boat floating on the water.,Change the overcast sky to bright blue with white clouds.
2,Add a digital scale to the lab.,Replace the window view with an ocean under a clear blue sky.
3,Replace the dog with a golden retriever.,Replace the indoor background with an outdoor picnic scene.
4,Add a portrait painting of a woman to the frame.,Change the woman's hair from black and blonde highlights to fully blonde.
5,Add a blue-white patterned vase in the glass case.,Change the overcast sky to bright blue with white clouds.
6,Add a neon "Play Here" sign above the arcade machine.,Make the scene brighter and sunnier.
7,Turn off the lamp and the room darker.,Transform the lighting to a dramatic dual-tone blue and orange.
8,Replace the woman on the left with a ghost in a white hoodie.,Change the lighting to a warmer golden tone.
9,Replace the words in the leftmost sign with "Love and Peace".,Change the window view to a warm golden sunset scene.
10,Add a black statue of a woman on the pedestal.,Change the hair from black-blonde highlights to solid blonde.
